,pattern,alpha,train_rmse,test_rmse
345,PATT0000116,0.001,0.7479075238009765,0.7441886562286841
346,PATT0000116,0.01,0.7505261436596431,0.7450297253532325
347,PATT0000116,0.1,0.7738098724051925,0.7677619006930567
348,PATT0000117,0.001,0.7492588621803409,0.7452261529282223
349,PATT0000117,0.01,0.7516381855788424,0.7458179334144281
350,PATT0000117,0.1,0.7738098724051925,0.7677619006930567
351,PATT0000118,0.001,0.6970160928564163,0.6930987007791113
352,PATT0000118,0.01,0.6991562177039138,0.6933951427737459
353,PATT0000118,0.1,0.7275380489748897,0.7220087609452689
354,PATT0000119,0.001,0.7327101561557621,0.7277362881913765
355,PATT0000119,0.01,0.7352467613783736,0.7284377357137513
356,PATT0000119,0.1,0.7679203966109331,0.7617219484032316
357,PATT0000120,0.001,0.7019332820611582,0.6970571836866901
358,PATT0000120,0.01,0.7045100106971648,0.6981062067165735
359,PATT0000120,0.1,0.7492177519601467,0.7428032795915929
360,PATT0000121,0.001,0.7338539546710816,0.728665017164225
361,PATT0000121,0.01,0.7365935761692421,0.7297175815303478
362,PATT0000121,0.1,0.7712480475126737,0.7654620085916236
363,PATT0000122,0.001,0.7520946197444683,0.7500647199147131
364,PATT0000122,0.01,0.7544579940929257,0.7503384898471771
365,PATT0000122,0.1,0.7693293145344742,0.7635847470929554
366,PATT0000123,0.001,0.6989621423208855,0.6998770580857951
367,PATT0000123,0.01,0.7013159773413771,0.700358503431674
368,PATT0000123,0.1,0.7192754198026071,0.7156266010552946
369,PATT0000124,0.001,0.7698531511336528,0.7686381503959702
370,PATT0000124,0.01,0.772561555530339,0.7696292476614365
371,PATT0000124,0.1,0.7895905187851072,0.7846273106623487
372,PATT0000125,0.001,0.7701278311083107,0.7682435416260157
373,PATT0000125,0.01,0.7725830902004126,0.7688718396787659
374,PATT0000125,0.1,0.7895905187851072,0.7846273106623487
375,PATT0000126,0.001,0.73861856774049,0.737061033069637
376,PATT0000126,0.01,0.7409826510071587,0.7375582009232118
377,PATT0000126,0.1,0.7525730862253919,0.7479060515613275
378,PATT0000127,0.001,0.7695281835080131,0.768007747128467
379,PATT0000127,0.01,0.7720905522185791,0.7687154818465332
380,PATT0000127,0.1,0.7886926716572863,0.7836860762261073
381,PATT0000128,0.001,0.748378143554981,0.7460997257710216
382,PATT0000128,0.01,0.7513057047005375,0.74737566493135
383,PATT0000128,0.1,0.7771252453893498,0.7717449538136505
384,PATT0000129,0.001,0.7519617343826468,0.7509342603465369
385,PATT0000129,0.01,0.754706161255632,0.7515430873517234
386,PATT0000129,0.1,0.7825152166096001,0.7778604986777556
387,PATT0000130,0.001,0.6839159731170924,0.6811957676721114
388,PATT0000130,0.01,0.6859997585921851,0.6812450539313851
389,PATT0000130,0.1,0.7021437265565335,0.6968513841267958
390,PATT0000131,0.001,0.7534230216895571,0.7507792038532325
391,PATT0000131,0.01,0.7559779711449444,0.7511331183443413
392,PATT0000131,0.1,0.771018094641148,0.7651349664674044
393,PATT0000132,0.001,0.7534381345313007,0.7499463068249528
394,PATT0000132,0.01,0.7557387477907233,0.7500003916933421
395,PATT0000132,0.1,0.771018094641148,0.7651349664674044
396,PATT0000133,0.001,0.7274209860816573,0.725592848394255
397,PATT0000133,0.01,0.7295555270016637,0.7256099390932328
398,PATT0000133,0.1,0.7438017005361387,0.7388775178621471
399,PATT0000134,0.001,0.7511969841985442,0.7479911712926424
400,PATT0000134,0.01,0.7535390541497462,0.7480748345565926
401,PATT0000134,0.1,0.770066546217111,0.7641677480018311
402,PATT0000135,0.001,0.7389731527229895,0.7357377731476371
403,PATT0000135,0.01,0.7417996563258281,0.7363724024759895
404,PATT0000135,0.1,0.7644357300565655,0.7584795234032584
405,PATT0000136,0.001,0.7379618668034446,0.7335567607562058
406,PATT0000136,0.01,0.7406914064776435,0.7342557428731137
407,PATT0000136,0.1,0.764899795810661,0.7592979144390338
408,PATT0000137,0.001,0.710940028005379,0.710924815491679
409,PATT0000137,0.01,0.713500466744674,0.7120184807548708
410,PATT0000137,0.1,0.7260066682673133,0.7221780593039464
411,PATT0000138,0.001,0.7106942849080317,0.7110281500394591
412,PATT0000138,0.01,0.7130478521608967,0.711456998185665
413,PATT0000138,0.1,0.7260066682673133,0.7221780593039464
414,PATT0000139,0.001,0.6637173130485676,0.6616741825410478
415,PATT0000139,0.01,0.6656401851657314,0.6616792771492332
416,PATT0000139,0.1,0.6830131373949465,0.6782887814874694
417,PATT0000140,0.001,0.6982473507639783,0.6960204444912309
418,PATT0000140,0.01,0.7006648283586797,0.6968537655023538
419,PATT0000140,0.1,0.7212182135564987,0.7170597184837677
420,PATT0000141,0.001,0.6705031882988404,0.6672440039378129
421,PATT0000141,0.01,0.6729811850983828,0.6680158328734829
422,PATT0000141,0.1,0.7055853840366443,0.7010633898208013
